video_id,channel_title,channel_id,video_publish_date,video_title,video_view_count,video_like_count,video_dislike_count,video_comment_count
1C6cIDpW4B4,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-05T22:16:14.000Z,"MSM Claims Thump Children's Book ""Indoctrinates"" Kids To ""White Nationalism""",9089,349.0,15.0,99.0
1le4zNEm-v0,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-04T21:20:37.000Z,INSANE VIDEO: MSM Claims Trump Defending Himself Is Authoritarian,8945,404.0,10.0,88.0
e6zkFA8I4SQ,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-03T22:29:50.000Z,VIDEO: MSNBC Claims Trump's Sexual Insecurity Is Threatening To Annihilate The Planet,7450,284.0,17.0,149.0
2NFkTfNUXMM,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-02T22:09:25.000Z,Snopes Debunked On Claim That The New York Times Didn't Collude With Hillary Clinton,6061,362.0,6.0,57.0
AR6ENX9uzv0,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-02T19:10:02.000Z,"Trump Just Raised Taxes On Himself, Costing Hundreds Of Millions Of Dollars & MSM Is Dead Quiet",11740,735.0,37.0,176.0
qmtqrf23Xd8,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-01T10:57:05.000Z,Red Alert: Trump Has Declared Martial Law / MSM’s Total Blackout On Developments: 12/31/17 Full Show,135072,3348.0,250.0,921.0
jXhG8lJvqiI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-01T07:46:25.000Z,Trump Advisor: MSM Attacking Trump’s Family In An Attempt To Bait Him,12888,504.0,18.0,88.0
PnSYEz2hPfQ,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-01T06:54:07.000Z,Why Is CNN Admitting That Russiagate Is Fake?,24996,1026.0,33.0,142.0
p9qeD3AWdps,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2018-01-01T03:00:04.000Z,"CNN Admits That Russiagate Is Fake, Will Liberals Apologize?",25420,1556.0,39.0,241.0
I2Ed9pe3AJI,The Alex Jones Channel,UCvsye7V9psc-APX6wV1twLg,2017-12-31T21:32:45.000Z,Breaking! CNN Admits Trump Is Right About FBI Witchhunt,124207,3464.0,104.0,467.0
